HGNC ID	Approved symbol	Status	Previous symbols	Accession numbers	Gene group name	Gene group ID
HGNC:26221	OCEL1	Approved		BC029361		
HGNC:16074	OCIAD1	Approved		AF324350		
HGNC:40751	OCIAD1-AS1	Approved		AI018597, BG200457	Antisense RNAs	1987
HGNC:28685	OCIAD2	Approved		BC032808	Mitochondrial respiratory chain complex assembly factors	645
HGNC:31827	OCIAD2P1	Approved				
HGNC:8103	OCLM	Entry Withdrawn				
HGNC:8104	OCLN	Approved		U49184	Tetraspan junctional complex superfamily|MARVEL domain containing|Protein phosphatase 1 regulatory subunits	1471|1626|694
HGNC:53916	OCLNP1	Approved				
HGNC:8105	OCM	Approved		BC069468	EF-hand domain containing	863
HGNC:34396	OCM2	Approved		BC156841	EF-hand domain containing	863
HGNC:8106	OCP1	Symbol Withdrawn				
HGNC:8107	OCP2	Symbol Withdrawn				
HGNC:8108	OCRL	Approved		U57627	Phosphoinositide phosphatases	1079
HGNC:16116	OCSTAMP	Approved	C20orf123	AL034424		
HGNC:26560	ODAD1	Approved	CCDC114	BC025752	Outer dynein arm docking complex subunits	2019
HGNC:25583	ODAD2	Approved	ARMC4	AL136859	Armadillo repeat containing|Outer dynein arm docking complex subunits	409|2019
HGNC:44937	ODAD2P1	Approved	ARMC4P1			
HGNC:28303	ODAD3	Approved	CCDC151		Outer dynein arm docking complex subunits	2019
HGNC:25280	ODAD4	Approved	TTC25	AK055498	Outer dynein arm docking complex subunits|Tetratricopeptide repeat domain containing	2019|769
HGNC:26043	ODAM	Approved		AK000520	Secretory calcium-binding phosphoprotein family	2245
HGNC:26300	ODAPH	Approved	C4orf26	AK074237		
HGNC:8109	ODC1	Approved			Small nucleolar RNA protein coding host genes	1835
HGNC:54070	ODC1-DT	Approved			Divergent transcripts	1990
HGNC:8110	ODCP	Approved	ODC2			
HGNC:8112	ODDD	Symbol Withdrawn				
HGNC:8113	ODF1	Approved		M93131	Small heat shock proteins	585
HGNC:8114	ODF2	Approved		AF012549		
HGNC:49461	ODF2-AS1	Approved		AW303426	Antisense RNAs	1987
HGNC:29225	ODF2L	Approved			MicroRNA protein coding host genes	1691
HGNC:19056	ODF4	Approved		AB081120		
HGNC:8115	ODG1	Symbol Withdrawn				
HGNC:24299	ODR4	Approved	C1orf27	BC003397		
HGNC:8116	ODT1	Symbol Withdrawn				
HGNC:8118	OED	Entry Withdrawn				
HGNC:8119	OFC#	Entry Withdrawn				
HGNC:8120	OFC1	Entry Withdrawn	OFC			
HGNC:8121	OFC2	Entry Withdrawn				
HGNC:8122	OFC3	Entry Withdrawn				
HGNC:21017	OFCC1	Approved		AF548113	Unitary pseudogenes	3418
HGNC:2567	OFD1	Approved	CXorf5, RP23	Y15164		
HGNC:23873	OFD1P1Y	Approved	OFDYP1, OFD1P1			
HGNC:23874	OFD1P2Y	Approved	OFDYP2, OFD1P2, OFD1PY2			
HGNC:23875	OFD1P3Y	Approved	OFDYP3, OFD1P3, OFD1PY3, OFD1P19Y, OFD1P19, OFD1PY19			
HGNC:23876	OFD1P4Y	Approved	OFDYP4, OFD1P4, OFD1PY4			
HGNC:23877	OFD1P5Y	Approved	OFDYP5, OFD1P5, OFD1PY5			
HGNC:13657	OFD1P6Y	Approved	OFD1P2, OFDYP6, OFD1P6, OFD1PY6			
HGNC:23879	OFD1P7Y	Approved	OFDYP7, OFD1P7, OFD1PY7			
HGNC:23880	OFD1P8Y	Approved	OFDYP8, OFD1P8, OFD1PY8			
HGNC:23881	OFD1P9Y	Approved	OFDYP9, OFD1P9, OFD1PY9			
HGNC:23882	OFD1P10Y	Approved	OFDYP10, OFD1P10, OFD1PY10			
HGNC:23883	OFD1P11Y	Approved	OFDYP11, OFD1P11, OFD1PY11			
HGNC:23884	OFD1P12Y	Approved	OFDYP12, OFD1P12, OFD1PY12			
HGNC:23885	OFD1P13Y	Approved	OFDYP13, OFD1P13, OFD1PY13			
HGNC:23886	OFD1P14Y	Approved	OFDYP14, OFD1P14, OFD1PY14			
HGNC:23887	OFD1P15Y	Approved	OFDYP15, OFD1P15, OFD1PY15			
HGNC:18213	OFD1P16Y	Approved	OFDYP16, OFD1P16, OFD1PY16			
HGNC:1332	OFD1P17	Approved	C5orf1, OFD1P1			
HGNC:2589	OFD1P18Y	Approved	CYorf1, OFD1P18, OFD1PY18	L18173		
HGNC:37910	OFD1P19Y	Symbol Withdrawn	OFD1P19, OFD1PY19			
HGNC:7056	OGA	Approved	MGEA5	AF036144	Hexosaminidases	1642
HGNC:8124	OGDH	Approved		D10523	Oxoglutarate dehydrogenase complex subunits|Oxoglutarate dehydrogenase family	2022|1666
HGNC:25590	OGDHL	Approved		AK001713	Oxoglutarate dehydrogenase complex subunits|Oxoglutarate dehydrogenase family	2022|1666
HGNC:25585	OGFOD1	Approved		BC032919		
HGNC:39202	OGFOD1P1	Approved				
HGNC:25823	OGFOD2	Approved		AK094820		
HGNC:26174	OGFOD3	Approved	C17orf101	BC023602		
HGNC:15768	OGFR	Approved		AF109134		
HGNC:40724	OGFR-AS1	Approved		BQ187924, CA412981	Antisense RNAs	1987
HGNC:21378	OGFRL1	Approved				
HGNC:50511	OGFRP1	Approved				
HGNC:8125	OGG1	Approved		U96710	DNA glycosylases	1024
HGNC:8126	OGN	Approved		AI424992	Small leucine rich repeat proteoglycans	573
HGNC:8127	OGT	Approved		U77413	Tetratricopeptide repeat domain containing|NSL histone acetyltransferase complex|O-linked N-acetylglucosaminyltransferases	769|1482|446
HGNC:8128	OI4	Symbol Withdrawn				
HGNC:8129	OIAS	Symbol Withdrawn				
HGNC:20300	OIP5	Approved		AF025441		
HGNC:43563	OIP5-AS1	Approved			Antisense RNAs	1987
HGNC:29953	OIT3	Approved				
HGNC:8130	OK	Symbol Withdrawn				
HGNC:28833	OLA1	Approved	GTPBP9			
HGNC:45274	OLA1P1	Approved				
HGNC:45277	OLA1P2	Approved				
HGNC:45278	OLA1P3	Approved				
HGNC:25625	OLAH	Approved	THEDC1	AK001844		
HGNC:17187	OLFM1	Approved		AF035301	Olfactomedin domain containing 	2314
HGNC:17189	OLFM2	Approved		AF131839	Olfactomedin domain containing 	2314
HGNC:17990	OLFM3	Approved		AF397392	Olfactomedin domain containing 	2314
HGNC:17190	OLFM4	Approved		AY358567	Olfactomedin domain containing 	2314
HGNC:51927	OLFM5P	Approved			Unitary pseudogenes|Olfactomedin domain containing 	3418|2314
HGNC:24473	OLFML1	Approved		AY358591	Olfactomedin domain containing 	2314
HGNC:27270	OLFML2A	Approved		AK092255	Olfactomedin domain containing 	2314
HGNC:24558	OLFML2B	Approved		BX648975	Olfactomedin domain containing 	2314
HGNC:24956	OLFML3	Approved		AF201945	Olfactomedin domain containing 	2314
HGNC:8132	OLFR1	Symbol Withdrawn				
HGNC:8131	OLFR@	Entry Withdrawn				
HGNC:16983	OLIG1	Approved		AP000109	Basic helix-loop-helix proteins	420
HGNC:9398	OLIG2	Approved	PRKCBP2, BHLHB1	U48250	Basic helix-loop-helix proteins	420
HGNC:18003	OLIG3	Approved		AK096362	Basic helix-loop-helix proteins	420
HGNC:28060	OLMALINC	Approved	C10orf75, NCRNA00263, LINC00263	BC045787	Long non-coding RNAs with non-systematic symbols	1992
HGNC:8133	OLR1	Approved		D89050	C-type lectin domain containing|Scavenger receptors	1298|1253
HGNC:29661	OMA1	Approved		AK091101	M48 metallopeptidase family	2105
HGNC:8134	OMD	Approved		AB000114	Small leucine rich repeat proteoglycans	573
HGNC:8135	OMG	Approved				
HGNC:8136	OMP	Approved		U01212		
HGNC:8137	ON	Symbol Withdrawn				
HGNC:8138	ONECUT1	Approved	HNF6, HNF6A	U77975	CUT class homeoboxes and pseudogenes	527
HGNC:8139	ONECUT2	Approved		Y18198	CUT class homeoboxes and pseudogenes	527
HGNC:13399	ONECUT3	Approved		AC004755	CUT class homeoboxes and pseudogenes	527
HGNC:21382	OOEP	Approved	C6orf156	BC024931	Subcortical maternal complex	1684
HGNC:39192	OOEP-AS1	Approved	OOEP-AS		Antisense RNAs	1987
HGNC:54933	OOEPP1	Approved				
HGNC:54934	OOEPP2	Approved				
HGNC:49233	OOSP1	Approved		AB231701, AB231702	OOSP family	1631
HGNC:49240	OOSP1P1	Approved				
HGNC:49241	OOSP1P2	Approved				
HGNC:26699	OOSP2	Approved	TMEM122, PLAC1L	AK093517	OOSP family	1631
HGNC:53903	OOSP3	Approved			OOSP family	1631
HGNC:53904	OOSP4A	Approved			OOSP family	1631
HGNC:53905	OOSP4B	Approved			OOSP family	1631
HGNC:8140	OPA1	Approved		AB011139	Dynamin superfamily	3567
HGNC:40421	OPA1-AS1	Approved			Antisense RNAs	1987
HGNC:8141	OPA2	Entry Withdrawn				
HGNC:8142	OPA3	Approved		AK025840		
HGNC:32786	OPA4	Entry Withdrawn				
HGNC:32787	OPA5	Entry Withdrawn				
HGNC:33170	OPA6	Entry Withdrawn				
HGNC:33505	OPA7	Entry Withdrawn				
HGNC:39750	OPA8	Entry Withdrawn				
HGNC:20707	OPALIN	Approved	TMEM10	AF367761		
HGNC:8143	OPCML	Approved		BX537377	I-set domain containing|IgLON cell adhesion molecules	593|1052
HGNC:41366	OPCML-IT1	Approved			Intronic transcripts	1989
HGNC:41365	OPCML-IT2	Approved			Intronic transcripts	1989
HGNC:8144	OPD1	Symbol Withdrawn	OPD			
HGNC:8145	OPD2	Symbol Withdrawn				
HGNC:8146	OPEM	Entry Withdrawn				
HGNC:8147	OPG	Symbol Withdrawn				
HGNC:8148	OPHN1	Approved	MRX60	AJ001189	AH/BAR family Rho GTPase activating proteins	1923
HGNC:8149	OPLAH	Approved		AF024672, AB122018	MicroRNA protein coding host genes	1691
HGNC:8150	OPMD	Symbol Withdrawn				
HGNC:8151	OPN	Symbol Withdrawn				
HGNC:9936	OPN1LW	Approved	CBBM, RCP, CBP	Z68193	Opsin receptors	215
HGNC:4206	OPN1MW	Approved	GCP, CBBM, CBD	K03494	Opsin receptors	215
HGNC:26952	OPN1MW2	Approved			Opsin receptors	215
HGNC:51831	OPN1MW3	Approved			Opsin receptors	215
HGNC:1012	OPN1SW	Approved	BCP	U53874	Opsin receptors	215
HGNC:14007	OPN3	Approved	ECPN	AF140242	Opsin receptors|Protein phosphatase 1 regulatory subunits	215|694
HGNC:14449	OPN4	Approved		AF147788	Opsin receptors	215
HGNC:19992	OPN5	Approved	TMEM13	AY288419	Opsin receptors	215
HGNC:8152	OPPG	Symbol Withdrawn				
HGNC:8153	OPRD1	Approved		U10504	Opioid receptors	245
HGNC:8154	OPRK1	Approved			Opioid receptors	245
HGNC:8155	OPRL1	Approved			Opioid receptors	245
HGNC:8156	OPRM1	Approved		L29301	Opioid receptors	245
HGNC:17279	OPRPN	Approved	PROL1	S83198	Secretory calcium-binding phosphoprotein family	2245
HGNC:8158	OPTC	Approved		AF161702		
HGNC:17142	OPTN	Approved	GLC1E	AF420371		
HGNC:8159	OPTX2	Symbol Withdrawn				
HGNC:8179	OR1A1	Approved		AF087918	Olfactory receptors, family 1	147
HGNC:8180	OR1A2	Approved		AF155225	Olfactory receptors, family 1	147
HGNC:14750	OR1AA1P	Approved			Olfactory receptors, family 1	147
HGNC:15390	OR1AB1P	Approved		AC008894	Olfactory receptors, family 1	147
HGNC:31243	OR1AC1P	Approved			Olfactory receptors, family 1	147
HGNC:8181	OR1B1	Approved		AC006313	Olfactory receptors, family 1	147
HGNC:8182	OR1C1	Approved		X89674	Olfactory receptors, family 1	147
HGNC:8183	OR1D2	Approved	OLFR1	U04678	Olfactory receptors, family 1	147
HGNC:8184	OR1D3P	Approved	OR1D6P, OR1D7P	U04679	Olfactory receptors, family 1	147
HGNC:8185	OR1D4	Approved		U04681	Olfactory receptors, family 1	147
HGNC:8186	OR1D5	Approved		AF087923	Olfactory receptors, family 1	147
HGNC:8187	OR1D6P	Symbol Withdrawn	OR1D7P			
HGNC:8188	OR1D7P	Symbol Withdrawn				
HGNC:8189	OR1E1	Approved	OR1E9P, OR1E5, OR1E6	U04642	Olfactory receptors, family 1	147
HGNC:8190	OR1E2	Approved	OR1E4	U04686	Olfactory receptors, family 1	147
HGNC:8191	OR1E3	Approved	OR1E3P	U04690	Olfactory receptors, family 1	147
HGNC:8192	OR1E4	Symbol Withdrawn				
HGNC:8193	OR1E5	Symbol Withdrawn				
HGNC:15061	OR1E6	Symbol Withdrawn				
HGNC:15410	OR1E7	Entry Withdrawn				
HGNC:15411	OR1E8P	Entry Withdrawn				
HGNC:15383	OR1E9P	Symbol Withdrawn				
HGNC:8194	OR1F1	Approved	OR1F4, OR1F6, OR1F7, OR1F8, OR1F9, OR1F5, OR1F10, OR1F13P	Y14442	Olfactory receptors, family 1	147
HGNC:8196	OR1F2P	Approved	OR1F3P, OR1F2	AJ003145	Olfactory receptors, family 1	147
HGNC:8197	OR1F3P	Symbol Withdrawn				
HGNC:8198	OR1F4	Symbol Withdrawn				
HGNC:8199	OR1F5	Symbol Withdrawn				
HGNC:8200	OR1F6	Symbol Withdrawn				
HGNC:8201	OR1F7	Symbol Withdrawn				
HGNC:8202	OR1F8	Symbol Withdrawn				
HGNC:8203	OR1F9	Symbol Withdrawn				
HGNC:15045	OR1F10	Symbol Withdrawn				
HGNC:8195	OR1F11	Entry Withdrawn				
HGNC:13964	OR1F12P	Approved	OR1F12		Olfactory receptors, family 1	147
HGNC:15056	OR1F13P	Symbol Withdrawn				
HGNC:8204	OR1G1	Approved	OR1G2	U04689	Olfactory receptors, family 1	147
HGNC:8205	OR1G2	Symbol Withdrawn				
HGNC:8206	OR1H1P	Approved	OR1H1		Olfactory receptors, family 1	147
HGNC:8207	OR1I1	Approved		AC004794	Olfactory receptors, family 1	147
HGNC:8208	OR1J1	Approved		AL353767	Olfactory receptors, family 1	147
HGNC:8209	OR1J2	Approved	OR1J3, OR1J5		Olfactory receptors, family 1	147
HGNC:8210	OR1J3	Symbol Withdrawn				
HGNC:8211	OR1J4	Approved		X64979	Olfactory receptors, family 1	147
HGNC:15109	OR1J5	Symbol Withdrawn				
HGNC:8212	OR1K1	Approved		AL359512	Olfactory receptors, family 1	147
HGNC:8213	OR1L1	Approved	OR1L2		Olfactory receptors, family 1	147
HGNC:8214	OR1L2	Symbol Withdrawn				
HGNC:8215	OR1L3	Approved			Olfactory receptors, family 1	147
HGNC:8216	OR1L4	Approved	OR1L5		Olfactory receptors, family 1	147
HGNC:8217	OR1L5	Symbol Withdrawn				
HGNC:8218	OR1L6	Approved	OR1L7		Olfactory receptors, family 1	147
HGNC:8219	OR1L7	Symbol Withdrawn				
HGNC:15110	OR1L8	Approved			Olfactory receptors, family 1	147
HGNC:8220	OR1M1	Approved			Olfactory receptors, family 1	147
HGNC:31244	OR1M4P	Approved			Olfactory receptors, family 1	147
HGNC:8221	OR1N1	Approved	OR1N3	U86216	Olfactory receptors, family 1	147
HGNC:15111	OR1N2	Approved			Olfactory receptors, family 1	147
HGNC:15112	OR1N3	Symbol Withdrawn				
HGNC:8222	OR1P1	Approved	OR1P1P	AF087927	Olfactory receptors, family 1	147
HGNC:8223	OR1Q1	Approved	OR1Q2, OR1Q3		Olfactory receptors, family 1	147
HGNC:55113	OR1Q1BP	Approved			Olfactory receptors, family 1	147
HGNC:8224	OR1Q2	Symbol Withdrawn				
HGNC:8225	OR1Q3	Symbol Withdrawn				
HGNC:8226	OR1R1	Approved	OR20A1P, OR1R2P, OR1R3P, OR1R1P		Olfactory receptors, family 1	147
HGNC:15384	OR1R2P	Symbol Withdrawn				
HGNC:15385	OR1R3P	Symbol Withdrawn				
HGNC:8227	OR1S1	Approved		BK004299	Olfactory receptors, family 1	147
HGNC:15141	OR1S2	Approved		BK004297	Olfactory receptors, family 1	147
HGNC:15062	OR1X1P	Approved		AC008454	Olfactory receptors, family 1	147
HGNC:31245	OR1X5P	Approved			Olfactory receptors, family 1	147
HGNC:8229	OR2A1	Approved			Olfactory receptors, family 2|Proteins encoded by multiple genes	149|2293
HGNC:49168	OR2A1-AS1	Approved		BC040701	Antisense RNAs	1987
HGNC:8230	OR2A2	Approved	OR2A2P, OR2A17P		Olfactory receptors, family 2	149
HGNC:8231	OR2A3P	Approved			Olfactory receptors, family 2	149
HGNC:14729	OR2A4	Approved	OR2A10	AC005587	Olfactory receptors, family 2	149
HGNC:8232	OR2A5	Approved	OR2A8, OR2A26	U86278	Olfactory receptors, family 2	149
HGNC:8233	OR2A6	Symbol Withdrawn				
HGNC:8234	OR2A7	Approved			Olfactory receptors, family 2	149
HGNC:8235	OR2A8	Symbol Withdrawn				
HGNC:8236	OR2A9P	Approved	OR2A9		Olfactory receptors, family 2	149
HGNC:14710	OR2A10	Symbol Withdrawn				
HGNC:15081	OR2A11P	Entry Withdrawn				
HGNC:15082	OR2A12	Approved	OR2A12P		Olfactory receptors, family 2	149
HGNC:15083	OR2A13P	Approved			Olfactory receptors, family 2	149
HGNC:15084	OR2A14	Approved	OR2A14P, OR2A6		Olfactory receptors, family 2	149
HGNC:15085	OR2A15P	Approved	OR2A28P		Olfactory receptors, family 2	149
HGNC:15046	OR2A16P	Entry Withdrawn				
HGNC:15086	OR2A17P	Symbol Withdrawn				
HGNC:15334	OR2A18P	Entry Withdrawn				
HGNC:15412	OR2A19	Entry Withdrawn				
HGNC:15413	OR2A20P	Approved	OR2A20	AI084964	Olfactory receptors, family 2	149
HGNC:15414	OR2A21	Entry Withdrawn				
HGNC:15415	OR2A22P	Entry Withdrawn				
HGNC:19551	OR2A23P	Entry Withdrawn				
HGNC:19554	OR2A24P	Entry Withdrawn				
HGNC:19562	OR2A25	Approved	OR2A25P, OR2A27		Olfactory receptors, family 2	149
HGNC:19565	OR2A26	Symbol Withdrawn				
HGNC:19566	OR2A27	Symbol Withdrawn				
HGNC:19567	OR2A28P	Symbol Withdrawn				
HGNC:31246	OR2A41P	Approved			Olfactory receptors, family 2	149
HGNC:31230	OR2A42	Approved			Olfactory receptors, family 2|Proteins encoded by multiple genes	149|2293
HGNC:14749	OR2AD1P	Approved		Z84476	Olfactory receptors, family 2	149
HGNC:15087	OR2AE1	Approved	OR2AE2	AC011904	Olfactory receptors, family 2	149
HGNC:15088	OR2AE2	Symbol Withdrawn				
HGNC:14719	OR2AF1P	Approved	OR2AF2P		Olfactory receptors, family 2	149
HGNC:14830	OR2AF2P	Symbol Withdrawn				
HGNC:15142	OR2AG1	Approved	OR2AG3	AB065823	Olfactory receptors, family 2	149
HGNC:15143	OR2AG2	Approved	OR2AG2P	AB065539	Olfactory receptors, family 2	149
HGNC:19604	OR2AG3	Symbol Withdrawn				
HGNC:15144	OR2AH1P	Approved			Olfactory receptors, family 2	149
HGNC:15063	OR2AI1P	Approved		AC025336	Olfactory receptors, family 2	149
HGNC:15001	OR2AJ1	Approved	OR2AJ1P		Olfactory receptors, family 2	149
HGNC:15002	OR2AK1P	Symbol Withdrawn				
HGNC:19569	OR2AK2	Approved	OR2AK1P	BK004457	Olfactory receptors, family 2	149
HGNC:14712	OR2AL1P	Approved		AC017094	Olfactory receptors, family 2	149
HGNC:15113	OR2AM1P	Approved			Olfactory receptors, family 2	149
HGNC:15114	OR2AN1P	Entry Withdrawn				
HGNC:31247	OR2AO1P	Approved			Olfactory receptors, family 2	149
HGNC:15335	OR2AP1	Approved	OR2AP1P	BK004260	Olfactory receptors, family 2	149
HGNC:15003	OR2AQ1P	Approved		AP002534	Olfactory receptors, family 2	149
HGNC:14777	OR2AR1P	Symbol Withdrawn				
HGNC:15004	OR2AS1P	Approved			Olfactory receptors, family 2	149
HGNC:31248	OR2AS2P	Approved			Olfactory receptors, family 2	149
HGNC:15145	OR2AT1P	Approved		AP001972	Olfactory receptors, family 2	149
HGNC:19619	OR2AT2P	Approved			Olfactory receptors, family 2|Unitary pseudogenes	149|3418
HGNC:19620	OR2AT4	Approved		BK004820	Olfactory receptors, family 2	149
HGNC:19646	OR2AU1P	Symbol Withdrawn				
HGNC:15493	OR2B1	Symbol Withdrawn	OR2B1P, OR2B5			
HGNC:8237	OR2B1P	Symbol Withdrawn				
HGNC:13966	OR2B2	Approved	OR2B9	Z98744	Olfactory receptors, family 2	149
HGNC:8238	OR2B3	Approved	OR2B3P		Olfactory receptors, family 2	149
HGNC:8239	OR2B4P	Approved			Olfactory receptors, family 2	149
HGNC:8240	OR2B5	Symbol Withdrawn				
HGNC:8241	OR2B6	Approved	OR2B6P, OR2B1, OR2B1P, OR2B5	U86275	Olfactory receptors, family 2	149
HGNC:13967	OR2B7P	Approved			Olfactory receptors, family 2	149
HGNC:13968	OR2B8	Approved	OR2B8P		Olfactory receptors, family 2	149
HGNC:15068	OR2B9	Symbol Withdrawn				
HGNC:31249	OR2B11	Approved			Olfactory receptors, family 2	149
HGNC:31250	OR2BH1P	Approved			Olfactory receptors, family 2	149
HGNC:8242	OR2C1	Approved	OR2C2P	AF098664	Olfactory receptors, family 2	149
HGNC:15379	OR2C2P	Symbol Withdrawn				
HGNC:15005	OR2C3	Approved	OR2C4, OR2C5P	BC030717	Olfactory receptors, family 2	149
HGNC:15006	OR2C4	Symbol Withdrawn				
HGNC:15416	OR2C5P	Symbol Withdrawn				
HGNC:8243	OR2D1	Symbol Withdrawn				
HGNC:8244	OR2D2	Approved	OR2D1	AB065824	Olfactory receptors, family 2	149
HGNC:15146	OR2D3	Approved		BK004294	Olfactory receptors, family 2	149
HGNC:13969	OR2E1	Symbol Withdrawn				
HGNC:15507	OR2E1P	Approved	OR2E1, OR2E2	AC005678	Olfactory receptors, family 2	149
HGNC:8245	OR2E2	Symbol Withdrawn				
HGNC:8246	OR2F1	Approved	OR2F4, OR2F5, OR2F3, OR2F3P	U56421	Olfactory receptors, family 2	149
HGNC:8247	OR2F2	Approved			Olfactory receptors, family 2	149
HGNC:8248	OR2F3	Symbol Withdrawn	OR2F3P			
HGNC:8249	OR2F4	Symbol Withdrawn				
HGNC:8250	OR2F5	Symbol Withdrawn				
HGNC:8251	OR2G1P	Approved			Olfactory receptors, family 2	149
HGNC:15007	OR2G2	Approved		BK004472	Olfactory receptors, family 2	149
HGNC:15008	OR2G3	Approved		BK004417	Olfactory receptors, family 2	149
HGNC:27019	OR2G6	Approved			Olfactory receptors, family 2	149
HGNC:8252	OR2H1	Approved	OR2H6, OR2H8	AF044491	Olfactory receptors, family 2	149
HGNC:8253	OR2H2	Approved			Olfactory receptors, family 2	149
HGNC:8254	OR2H3	Entry Withdrawn				
HGNC:8255	OR2H4P	Approved			Olfactory receptors, family 2	149
HGNC:8256	OR2H5P	Approved		AF042075	Olfactory receptors, family 2	149
HGNC:8257	OR2H6	Symbol Withdrawn				
HGNC:15069	OR2H7	Entry Withdrawn				
HGNC:15070	OR2H8	Symbol Withdrawn				
HGNC:8258	OR2I1	Approved	OR2I2, OR2I1P, OR2I3P, OR2I4P	AC004179	Olfactory receptors, family 2	149
HGNC:14715	OR2I2	Symbol Withdrawn				
HGNC:15417	OR2I3P	Symbol Withdrawn				
HGNC:15418	OR2I4P	Symbol Withdrawn				
HGNC:15419	OR2I5P	Entry Withdrawn				
HGNC:15420	OR2I6	Entry Withdrawn				
HGNC:15421	OR2I7P	Entry Withdrawn				
HGNC:15422	OR2I8P	Entry Withdrawn				
HGNC:15423	OR2I9P	Entry Withdrawn				
HGNC:8259	OR2J1	Approved	OR2J1P		Olfactory receptors, family 2	149
HGNC:8260	OR2J2	Approved			Olfactory receptors, family 2	149
HGNC:8261	OR2J3	Approved			Olfactory receptors, family 2	149
HGNC:8262	OR2J4P	Approved			Olfactory receptors, family 2	149
HGNC:8263	OR2K1	Entry Withdrawn				
HGNC:8264	OR2K2	Approved	OR2AR1P	X64977	Olfactory receptors, family 2	149
HGNC:8265	OR2L1P	Approved	OR2L1, OR2L7P	X64980	Olfactory receptors, family 2	149
HGNC:8266	OR2L2	Approved	OR2L4P, OR2L12	X64978	Olfactory receptors, family 2	149
HGNC:15009	OR2L3	Approved		AB065950	Olfactory receptors, family 2	149
HGNC:15010	OR2L4P	Symbol Withdrawn				
HGNC:15011	OR2L5	Approved	OR2L11, OR2L5P		Olfactory receptors, family 2	149
HGNC:15012	OR2L6P	Approved			Olfactory receptors, family 2	149
HGNC:15013	OR2L7P	Symbol Withdrawn				
HGNC:15014	OR2L8	Approved		BK004459	Olfactory receptors, family 2	149
HGNC:15015	OR2L9P	Approved			Olfactory receptors, family 2	149
HGNC:19570	OR2L11	Symbol Withdrawn				
HGNC:19577	OR2L12	Symbol Withdrawn				
HGNC:19578	OR2L13	Approved	OR2L14	BC028158	Olfactory receptors, family 2	149
HGNC:19590	OR2L14	Symbol Withdrawn				
HGNC:8267	OR2M1P	Approved	OR2M1	AF308814	Olfactory receptors, family 2	149
HGNC:8268	OR2M2	Approved		AF399616	Olfactory receptors, family 2	149
HGNC:8269	OR2M3	Approved	OR2M6, OR2M3P		Olfactory receptors, family 2	149
HGNC:8270	OR2M4	Approved		X64992	Olfactory receptors, family 2	149
HGNC:19576	OR2M5	Approved	OR2M5P		Olfactory receptors, family 2	149
HGNC:19593	OR2M6	Symbol Withdrawn				
HGNC:19594	OR2M7	Approved		BK004486	Olfactory receptors, family 2	149
HGNC:8271	OR2N1P	Approved		AJ132194	Olfactory receptors, family 2	149
HGNC:8272	OR2P1P	Approved			Olfactory receptors, family 2	149
HGNC:8273	OR2Q1P	Approved		AC004853	Olfactory receptors, family 2	149
HGNC:8274	OR2R1P	Approved	OR2R1		Olfactory receptors, family 2|Unitary pseudogenes	149|3418
HGNC:8275	OR2S1P	Approved			Olfactory receptors, family 2	149
HGNC:8276	OR2S2	Approved		AL135841	Olfactory receptors, family 2	149
HGNC:8277	OR2T1	Approved		U86215	Olfactory receptors, family 2	149
HGNC:14725	OR2T2	Approved	OR2T2P	BK004462	Olfactory receptors, family 2	149
HGNC:14727	OR2T3	Approved			Olfactory receptors, family 2	149
HGNC:15016	OR2T4	Approved		BK004464	Olfactory receptors, family 2	149
HGNC:15017	OR2T5	Approved		BK004465	Olfactory receptors, family 2	149
HGNC:15018	OR2T6	Approved	OR2T6P, OR2T9	AF399481	Olfactory receptors, family 2	149
HGNC:15019	OR2T7	Approved	OR2T7P		Olfactory receptors, family 2	149
HGNC:15020	OR2T8	Approved	OR2T8P		Olfactory receptors, family 2	149
HGNC:19572	OR2T9	Symbol Withdrawn				
HGNC:19573	OR2T10	Approved			Olfactory receptors, family 2	149
HGNC:19574	OR2T11	Approved		BK004476	Olfactory receptors, family 2	149
HGNC:19592	OR2T12	Approved		BK004485	Olfactory receptors, family 2	149
HGNC:31252	OR2T27	Approved			Olfactory receptors, family 2	149
HGNC:31253	OR2T29	Approved			Olfactory receptors, family 2	149
HGNC:31254	OR2T32P	Approved			Olfactory receptors, family 2	149
HGNC:31255	OR2T33	Approved			Olfactory receptors, family 2	149
HGNC:31256	OR2T34	Approved		BK004477	Olfactory receptors, family 2	149
HGNC:31257	OR2T35	Approved		BK004475	Olfactory receptors, family 2	149
HGNC:8278	OR2U1P	Approved	OR2AU1P		Olfactory receptors, family 2	149
HGNC:8279	OR2U2P	Approved			Olfactory receptors, family 2	149
HGNC:8280	OR2V1	Approved	OR2V1P	AB065465	Olfactory receptors, family 2	149
HGNC:15341	OR2V2	Approved	OR2V3	AL161615	Olfactory receptors, family 2	149
HGNC:15064	OR2V3	Symbol Withdrawn				
HGNC:8281	OR2W1	Approved		AL035402	Olfactory receptors, family 2	149
HGNC:50896	OR2W1-AS1	Approved			Antisense RNAs	1987
HGNC:13970	OR2W2P	Approved			Olfactory receptors, family 2	149
HGNC:15021	OR2W3	Approved	OR2W8P, OR2W3P	N75737	Olfactory receptors, family 2	149
HGNC:15071	OR2W4P	Approved			Olfactory receptors, family 2	149
HGNC:15424	OR2W5P	Approved	OR2W5		Olfactory receptors, family 2	149
